;LLL;OLnL;PLnL;LOL;OLnO;PLL;PLnO;LOO;PoOO;PLO;PoOP;PLP;OOO;SLO;POO;POP;SOO;SOP ou POS;PPS ou POA
AP37;0.21;0.35;0.12;03.04;1.7;1.23;01.03;15.16;1.79;08.09;1.15;1.2;33.77;1.38;21.03;3.92;3.57;0.9;0.36
AP50;0.155;0.27699;0.049999;2.052;1.614;0.80798;0.81398;13.723;2.214;6.9759;1.176;0.64099;38.386;0.79798;21.632;3.4879;3.7549;0.99998;0.44199
AP501;0.188;0.29499;0.065999;2.6239;1.638;1.16;0.85398;14.888;2.143;8.5188;1.092;0.87398;34.236;1.017;21.541;3.7019;3.6349;1.083;0.44599
AP502;0.22;0.307;0.062001;2.7;1.744;1.356;0.93901;14.418;2.386;9.0941;1.35;1.018;32.166;01.02;22.015;3.994;3.599;1.21;0.401
AP503;0.212;0.299;0.071999;2.885;1.601;1.347;0.86599;15.346;2.157;9.4099;1.123;0.98699;31.965;1.073;21.669;3.765;3.638;1.162;0.424
AP53;0.242;0.32899;0.070999;2.9619;1.58;1.371;0.88998;15.278;2.105;9.3878;1.104;1.006;31.744;1.046;21.777;3.8329;3.6879;1.166;0.42099
AP59;0.146;0.243;0.048;2.114;1.474;0.86999;0.78899;13.983;2.273;7.8409;1.304;0.77999;35.674;0.91999;22.417;3.855;3.803;1.058;0.409
AP61;0.27;0.321;0.066;3.65;1.486;1.681;0.837;17.038;1.921;10.52;0.93;1.093;29.968;1.169;20.551;3.709;3.383;1.057;0.35
HP01;0.08;0.19;0.04;01.08;1.51;0.36;0.72;10.54;2;4.73;1.34;0.43;44.09;0.62;23.48;3.71;3.68;0.88;0.52
HP02;0.08;0.18;0.04;1.2;1.55;0.35;0.69;10.99;1.96;4.87;1.44;0.52;44.11;0.69;22.32;3.75;3.76;1;0.5
HP03;0.09;0.24;0.05;1.43;1.68;0.43;0.74;11.91;1.63;5.15;0.95;0.5;44.29;0.69;22.26;3.37;3.34;0.82;0.43
HP04;0.07;0.2;0.05;1.17;1.55;0.38;0.73;10.94;02.08;4.97;1.39;0.5;43.52;0.68;23.29;3.68;3.45;0.93;0.42
HP05;0.11;0.21;0.05;1.46;1.57;0.46;0.76;11.67;1.92;5.28;1.36;0.5;42.91;0.8;22.17;3.52;3.77;01.03;0.45
HP06;0.11;0.26;0.06;1.63;1.67;0.48;0.77;12.3;2.12;5.46;1.44;0.55;42.21;0.81;21.92;3.42;3.45;0.89;0.45
HP07;0.11;0.22;0.06;1.51;1.6;0.52;0.85;11.67;2.18;5.6;1.5;0.57;41.02;0.81;23.03;3.83;3.47;01.04;0.41
HP08;0.07;0.19;0.04;1.13;1.56;0.38;0.77;11.34;2.13;05.09;1.4;0.46;43.58;0.68;22.95;3.58;3.3;0.94;0.41
HP09;0.08;0.2;0.04;1.15;1.57;0.35;0.71;11.02;1.95;4.87;1.41;0.47;44.51;0.67;22.54;3.47;3.68;0.82;0.49
HP10;0.1;0.21;0.05;1.43;1.54;0.45;0.75;11.78;1.99;5.35;1.39;0.52;42.7;0.78;22.44;3.58;3.53;0.96;0.45
HP11;0.1;0.22;0.05;1.45;1.57;0.47;0.77;11.81;1.97;5.59;1.38;0.53;42.27;0.8;22.51;3.62;3.57;0.89;0.43
HP12;0.12;0.28;0.07;1.49;1.82;0.49;0.87;11.51;02.01;5.13;1.52;0.52;44.16;0.68;21.52;3.27;3.23;0.83;0.48
HP13;0.1;0.26;0.06;1.47;1.76;0.45;0.84;12.08;2.1;5.17;1.39;0.47;43.01;0.7;21.96;3.35;3.19;1.17;0.47
HP14;0.09;0.21;0.05;1.3;1.61;0.4;0.79;11.43;1.96;4.93;1.41;0.48;44.26;0.74;22.18;3.43;3.47;0.88;0.38
HP15;0.14;0.26;0.05;1.71;1.71;0.52;0.83;12.44;02.09;5.52;1.42;0.53;42.16;0.83;21.72;3.41;3.33;0.94;0.39
HP16;0.07;0.24;0.05;1.48;1.78;0.46;0.87;12.51;02.03;5.48;1.4;0.53;42.3;0.74;22.04;3.39;3.2;1;0.43
HP18;0.13;0.24;0.06;1.76;1.64;0.59;0.84;12.53;02.05;06.06;1.47;0.67;40.28;0.9;22.33;3.59;3.46;0.97;0.43
HP19;0.1;0.24;0.06;1.41;1.71;0.47;0.82;11.85;2.53;5.4;1.51;0.54;42.48;0.66;22.64;3.34;03.05;0.82;0.37
HP21;0.05;0.18;0.03;1.46;1.33;0.41;0.6;12.2;1.67;4.92;0.97;0.35;44.98;0.71;21.77;3.2;3.94;0.77;0.46
HP22;0.07;0.2;0.03;1.5;1.46;0.39;0.65;12.37;1.72;4.94;01.01;0.33;45.04;0.74;21.61;3.18;3.65;0.68;0.43
HP23;0.08;0.19;0.03;1.67;1.46;0.45;0.62;12.82;1.66;05.03;0.9;0.36;44.69;0.79;21.21;03.05;3.9;0.7;0.39
HP24;0.1;0.22;0.05;1.82;1.52;0.46;0.59;13.77;1.39;4.75;0.91;0.52;45;0.88;20.26;2.91;3.84;0.6;0.41
HP25;0.07;0.19;0.04;1.57;1.42;0.39;0.61;12.77;1.67;4.93;0.99;0.41;45.63;0.73;20.85;03.01;3.65;0.69;0.38
HP26;0.06;0.18;0.03;1.52;1.43;0.39;0.62;12.39;1.59;4.74;0.92;0.33;45.84;0.7;21.21;3.1;3.81;0.73;0.41
HP291;0.08;0.17;0.05;1.3;1.3;0.41;0.6;11.02;1.69;5;1.34;0.57;43.89;0.94;22.26;3.61;4.38;0.91;0.48
HP292;0.12;0.24;0.07;1.66;1.5;0.54;0.76;12.22;1.97;5.78;1.38;0.69;41.16;0.93;22.34;3.64;3.78;0.8;0.42
HP293;0.11;0.23;0.07;1.65;1.45;0.55;0.69;12.21;1.98;5.9;1.4;0.71;40.75;0.95;22.52;3.73;3.81;0.87;0.42
HP294;0.07;0.16;0.05;1.11;1.36;0.37;0.6;10.34;1.93;4.8;1.31;0.55;44.68;0.8;22.99;3.65;3.98;0.84;0.41
HP295;0.08;0.19;0.07;1.43;1.39;0.5;0.69;11.63;2.13;5.81;1.53;0.71;40.7;0.87;23.36;3.92;3.7;0.92;0.37
HP296;0.08;0.15;0.05;1.26;1.44;0.42;0.67;11.33;1.94;5.15;1.42;0.59;44.34;0.86;22.32;2.99;3.96;0.6;0.43
HP297;0.1;0.19;0.05;1.41;1.49;0.46;0.67;11.65;1.88;5.32;1.31;0.62;43.19;0.86;22.25;3.48;3.82;0.81;0.44
HP31;0.09;0.156;0.028;0.987;1.351;0.309;0.645;10.7;1.97;4.861;1.464;0.478;45.682;0.689;22.179;3.116;3.957;0.883;0.455
HP33;0.109;0.177;0.043;1.463;1.44;0.48;0.719;12.235;2.058;5.589;1.301;0.541;42.971;0.814;21.203;3.34;04.08;0.995;0.441
HP34;0.073167;0.16337;0.029066;1.2308;1.4052;0.40793;0.67053;12.179;2.185;5.4865;1.3832;0.53823;42.983;0.82989;21.256;3.3587;4.2978;1.0193;0.50315
HP35;0.102;0.159;0.032;01.05;1.376;0.369;0.687;10.842;2.068;5.015;1.494;0.497;44.913;0.733;21.976;3.323;4.018;0.894;0.451
HP361;0.087;0.15;0.025;1.026;1.425;0.362;0.692;10.663;02.05;4.644;1.377;0.404;46.41;0.648;21.598;3.17;3.92;0.898;0.449
NI13;0.09;0.22;0.04;1.77;1.53;0.6;0.63;12.44;1.92;05.03;0.58;0.3;45.9;0.54;21.53;2.89;03.01;0.58;0.4
NI14;0.03;0.22;0.03;1.3;1.72;0.41;0.73;11.22;1.65;04.06;0.47;0.17;49.61;0.6;20.87;2.62;3.3;0.55;0.44
NI15;0.06;0.22;0.04;1.89;1.43;0.56;0.59;13.12;1.27;4.69;0.42;0.25;48.04;0.55;19.98;2.56;3.31;0.58;0.44
NI18;0.04;0.2;0.03;01.02;1.52;0.28;0.58;11.18;01.03;3.85;0.52;0.37;52.45;0.56;19.57;2.38;3.3;0.55;0.57
NI19;0.03;0.19;0.04;1.14;1.6;0.33;0.68;11.49;1.3;4.25;0.65;0.43;50.58;0.52;20.1;2.6;3;0.53;0.54
NI20;0.04;0.2;0.04;1.28;1.61;0.42;0.8;11.82;1.48;4.73;0.75;0.51;47.75;0.58;21.04;2.77;3.1;0.59;0.49
NI21;0.03;0.21;0.03;1;1.66;0.29;0.67;10.94;1.32;04.05;0.67;0.42;50.33;0.57;20.74;2.68;3.33;0.56;0.5
NI22;0.08;0.26;0.07;02.03;1.64;0.68;0.78;14.27;1.83;6.24;0.87;0.69;41.68;0.78;20.99;03.01;2.9;0.65;0.55
NI23;0.03;0.19;0.04;1.23;1.67;0.35;0.71;11.56;1.11;04.05;0.6;0.43;51.66;0.59;19.05;2.34;3.19;0.57;0.63
NI24;0.05;0.22;0.07;1.45;1.56;0.4;0.62;13;1.29;4.68;0.66;0.47;48.51;0.54;19.93;2.6;2.78;0.57;0.6
NI25;0.05;0.21;0.04;1.5;1.42;0.42;0.62;13.18;1.31;05.02;0.61;0.52;47.11;0.63;20.63;2.8;2.88;0.5;0.55
NI27;0.04;0.19;0.05;1.39;1.54;0.42;0.6;12.48;1.17;4.57;0.55;0.44;48.82;0.85;19.55;2.53;3.78;0.6;0.43
NI28;0.05;0.21;0.05;1.82;1.55;0.61;0.75;13.75;1.57;5.54;0.69;0.62;44.05;01.01;20.48;2.69;3.42;0.74;0.4
NI30;0.04;0.19;0.05;1.6;1.57;0.58;0.8;12.94;1.52;5.57;0.69;0.65;44.13;0.82;21.36;2.89;3.65;0.57;0.38
NI31;0.05;0.21;0.05;1.66;1.59;0.5;0.61;13.3;1.28;4.83;0.56;0.45;48.01;0.84;19.24;2.48;3.4;0.54;0.4
NI32;0.04;0.18;0.04;1.63;1.42;0.46;0.58;12.94;1.28;4.87;0.6;0.54;46.9;0.88;19.87;2.69;3.91;0.74;0.43
NI33;0.04;0.18;0.03;1.5;1.45;0.44;0.59;13.14;1.34;4.76;0.59;0.51;47.57;0.82;19.77;2.62;3.56;0.68;0.41
NI34;0.05;0.2;0.06;1.5;1.68;0.48;0.67;12.41;1.35;4.72;0.65;0.49;48.26;0.77;19.63;2.7;3.43;0.56;0.39
NI332;0.04;0.21;0.07;1.4;1.59;0.43;0.65;12.39;1.15;4.62;0.59;0.47;48.89;0.73;19.97;2.67;3.22;0.51;0.4
NI333;0.04;0.2;0.04;1.47;1.62;0.45;0.64;12.42;1.4;4.85;0.71;0.52;46.83;0.84;20.61;2.78;3.62;0.54;0.42
NI35;0.046;0.161;0.025;1.137;1.408;0.322;0.538;12.607;1.436;4.663;0.727;0.415;50.256;0.592;19.22;2.373;2.972;0.539;0.563
NI37;0.042001;0.132;0.023;0.82102;1.438;0.26201;0.53701;9.9932;1.394;3.5351;0.60001;0.26601;54.227;0.55901;19;2.091;3.8981;0.65801;0.52301
NI39;0.086055;0.19613;0.030019;1.1848;1.6951;0.44729;0.70045;11.695;2.1624;5.1613;1.1217;0.48331;43.293;0.58537;22.915;3.6053;3.4062;0.75248;0.47931
NI40;0.046;0.143;0.022;0.799;1.526;0.25;0.633;10.086;1.519;3.777;0.738;0.289;52.481;0.472;20.32;2.388;3.34;0.574;0.597
NI41;0.05;0.159;0.029;1.055;1.38;0.346;0.59;11.518;1.639;4.667;0.811;0.387;48.745;0.565;20.628;2.698;3.471;0.693;0.569
