;LLL;OLnL;PLnL;LOL;OLnO;PLL;PLnO;LOO;PoOO;PLO;PoOP;PLP;OOO;SLO;POO;POP;SOO;SOP ou POS;PPS ou POA
VB28;0.29;0.34;0.1;04.01;1.63;1.47;0.75;16.44;1.87;8.99;0.79;0.96;32.1;01.03;21.16;3.65;3.29;0.8;0.33
VB29;0.45;0.51;0.14;4.1;1.56;1.58;0.87;16.67;1.93;09.08;0.77;0.99;32.13;1.21;20.46;3.39;3.11;0.74;0.31
VB30;0.34;0.37;0.1;4.47;1.59;1.63;0.73;17.08;1.65;9.22;0.66;01.01;31.96;1.23;20.06;3.42;3.39;0.76;0.33
VB31;0.29;0.36;0.12;3.65;1.59;1.67;0.98;15.48;1.88;9.42;1.1;1.44;30.52;1.39;21.48;4.14;3.22;0.91;0.36
VB32;0.21;0.3;0.08;03.09;1.56;1.34;0.9;14.78;2.13;8.74;1.28;1.26;32.12;1.13;22.41;4.14;3.19;0.96;0.38
VB33;0.26;0.33;0.1;3.23;1.62;1.47;0.98;14.74;1.92;8.77;1.14;1.38;32.23;1.26;21.99;3.96;3.33;0.93;0.36
VB34;0.29;0.34;0.08;3.84;1.51;1.83;0.98;15.79;1.89;9.75;1.12;1.66;28.84;1.44;21.49;4.48;3.37;0.94;0.36
VB35;0.17;0.29;0.08;2.56;1.6;01.06;0.86;13.79;1.97;7.69;1.2;1.16;35;1.1;22.48;04.08;3.56;0.95;0.4
VB36;0.28;0.35;0.11;3.57;1.54;1.6;0.85;15.14;1.98;9.39;1.18;1.41;30.79;1.3;21.8;4.15;3.22;0.98;0.36
VB37;0.39;0.37;0.11;4.5;1.48;2.2;0.85;16.25;1.87;11.1;01.05;1.73;26.92;1.47;21.05;4.31;03.05;0.98;0.32
VB38;0.34;0.34;0.11;4.15;1.44;1.87;0.82;16.06;1.84;10.21;01.01;1.56;28.6;1.47;21.36;4.2;3.26;01.03;0.33
VB39;0.17;0.26;0.07;2.79;1.41;01.09;0.74;14.65;1.73;08.07;0.97;1.1;34.53;1.23;22.39;3.92;3.52;1;0.36
VB40;0.11;0.27;0.07;2.13;1.71;0.78;0.83;13.41;1.76;6.47;01.03;0.91;38.99;0.93;22.23;3.67;3.19;1.14;0.37
VB63;0.183;0.291;0.058;2.405;1.609;1.065;0.868;14.506;2.231;8.024;1.135;0.766;36.205;0.843;21.535;3.517;3.361;01.02;0.378
VB64;0.133;0.273;0.060001;1.846;1.876;0.98301;1.008;12.591;3.261;7.8601;1.721;0.83401;34.833;0.67301;23.691;4.226;2.834;0.91001;0.386
VB65;0.20807;0.31511;0.057021;2.4829;1.6866;0.99336;0.79829;14.088;2.0457;7.7658;1.2224;0.76027;37.67;0.77228;20.899;3.3482;3.4162;0.90032;0.57121
VB666;0.303;0.364;0.075001;3.585;1.694;1.635;0.91701;16.339;2.252;9.8501;01.08;1.021;31.012;1.063;20.556;3.476;3.339;01.06;0.378
VB67;0.30901;0.37801;0.077002;3.6871;1.651;1.604;0.83202;16.431;2.141;10.519;1.256;1.191;30.221;1.064;20.362;3.5381;3.2031;1.027;0.50801
VB68;0.329;0.37;0.073001;04.04;1.533;1.815;0.84301;17.153;2.11;11.263;1.005;1.256;28;1.131;20.672;3.79;3.185;1.091;0.34
VB71;0.301;0.359;0.074;3.606;1.638;1.738;0.935;16.53;2.238;10.574;1.118;1.095;29.515;1.046;21.566;3.246;3.141;0.929;0.351
VB72;0.17;0.278;0.045;2.151;1.7;0.88701;0.76901;13.644;2.184;7.3711;1.28;0.71101;38.713;0.74601;21.032;3.356;3.493;0.90001;0.56901
VB73;0.155;0.262;0.048;1.895;1.743;0.92499;0.90299;13.695;2.482;7.2919;1.165;0.65899;38.019;0.80199;21.805;3.438;3.355;0.95699;0.401
VB74;0.201;0.30599;0.058999;2.5659;1.842;1.271;0.86198;14.659;2.402;8.5108;1.179;0.80398;34.412;0.87798;21.589;3.6339;3.4769;0.96898;0.37999
VB77;0.337;0.389;0.079999;4.088;1.648;1.884;0.91099;17.313;2.13;10.977;0.96299;1.171;28.529;1.108;20.343;3.577;3.132;1.096;0.325
VB78;0.32401;0.38201;0.074002;3.8721;1.6601;1.7691;0.90503;17.094;2.1001;10.459;0.95403;1.097;29.985;1.103;20.317;3.4501;3.0591;1.066;0.33001
VB80;0.309;0.367;0.076001;3.687;1.607;1.586;0.81801;16.332;2.154;10.438;1.186;1.149;30.195;1.022;20.499;3.684;3.284;1.079;0.52701
VB82;0.265;0.34;0.059999;3.488;1.573;1.426;0.83599;16.492;1.947;9.7039;1.135;1.109;32.409;1.238;19.961;3.146;3.337;1.034;0.50099

